"sub","lemm_prp_v42_250","lemm_prp_v3_250","lemm_prp_v8_250","lemm_prp_v45_250","lemm_prp_gradx_250","lemm_prp_grady_250","lemm_prp_gradz_237","lemm_prp_m002_230","lemm_prp_m003_250","lemm_prp_m300_250","lemm_prp_m210_250","lemm_prp_m201_236","lemm_prp_m030_249","lemm_prp_min_250","lemm_prp_std_250","lemm_prp_kurtosis_250","lemm_prp_energy_250","lemm_prp_v33_250","lemm_prp_m110_250","lemm_prp_m101_233","lemm_prp_m200_250","lemm_prp_m021_250","lemm_prp_m102_250","lemm_prp_m222_250","lemm_prp_volume_237","lemm_prp_density_250","lemm_prp_m012_250"
58325,1.0686963310234,0.174841969627524,0.0744597268294975,-0.25614908891248,-0.14919623534425,-0.912948050379881,0.726609247042098,-0.446128307594327,-1.74074825946996,-0.313026939659133,-0.468423365355709,0.816258190851255,1.90545222343085,-0.771305903144006,0.0677084069100045,2.5358740106359,1.66226869741422,0.62698024220685,1.10996051018811,0.0950893600823883,-1.0975429753594,-0.892397355258225,0.152631580377354,-0.0888981541450044,1.36681539344583,-0.639681189755045,-1.4066991139032
92173,-0.952915937259522,0.174841969627524,0.434081599811282,-0.258318633886205,0.785292813051063,-0.493581045639666,-1.28471381775089,0.0982160218196205,1.48627005932677,0.109823904223774,-0.0144831105801431,-0.275566880330844,0.557558679172189,-0.407283487322984,0.176955845822946,-0.200962015146843,0.116640979332817,0.352854177816928,-0.0179999899882937,-0.112924556756252,-0.421426145107904,-1.07657660988837,-1.25423498268672,-0.0656065234294968,1.62482880056273,-0.624282198379098,0.10738626562207
215131,0.988480279930005,0.174841969627524,0.434081599811282,-0.258318633886205,0.662877171326548,0.188744813245797,-0.105809714670831,-0.63401772531109,0.385275610114584,-0.101353718282318,-0.421821919012186,-0.055156792871808,-0.208785741176331,0.421028206365616,-0.479990952900024,-0.403769854700414,0.474892812265926,0.644039423484975,-0.854919161066721,-1.02133970897202,-0.128168664748089,-0.377714097390439,-0.254087314777968,-0.129954275963084,-0.37411194470521,-0.260369518577445,0.224354261070164
277752,-0.992469268744877,0.174841969627524,0.434081599811282,-0.258318633886205,-0.848459163403566,0.0155213284031682,0.687360249828001,-0.129302699823268,-0.316952530077135,-0.378134634305234,-0.266693257302366,0.182895869446147,-0.0466759178688477,0.0728843781831574,-0.988821193415492,-0.469147341027316,-0.968663733551127,-2.49853497345206,-0.123799497592199,0.0778248073227644,1.39218062903876,-0.058653405706648,-0.507569525118778,-0.0817376708601627,-1.21968501264865,3.74937217876194,0.166214263064251
308862,-0.992469268744877,0.174841969627524,0.434081599811282,-0.258318633886205,-0.237750482458111,-0.556301157362123,0.654349425414924,-0.193257459650715,0.282991900659447,-0.23868933370405,-0.207391835772158,-0.344337966071578,0.172345273616566,0.116708456684444,-1.14273070309892,1.55813095574155,0.538112061776886,-2.49637434356853,-0.772300004113623,0.776001340211782,0.394719455179826,-0.200157545578099,0.286547460270472,-0.0914518293131605,-0.470491181770811,-0.177169886715021,-0.36606578671547
923666,1.0551482006453,0.174841969627524,0.300246729131772,-0.244436920851834,0.668560249455847,1.02909436855954,2.56630546909261,0.14074774662661,0.277935231902775,0.598858175351303,-0.355460778815985,-0.94652292787316,-0.516331111068533,-0.642081617957976,1.09308118355595,0.0219831213989627,1.41241424324348,0.417374037277643,0.0527780878417327,-0.990932950988963,-0.991217981037645,0.228861555205416,-0.344749822523618,-0.145396528848326,0.272071050226366,-0.498183292461428,0.748578255068375
965005,1.05445529692498,0.174841969627524,0.434081599811282,-0.23813841094924,1.35235725627992,0.634559046227009,-0.806700386406251,-0.171420615543464,0.415427689046195,-0.388730511017594,-0.119009156428425,0.386647726781502,-0.583002945947808,-0.0647628362193079,-0.0949310109389094,-0.211479470139439,0.745564022565667,0.545193185131207,-0.901076172329142,-0.642636622193085,-1.00244745381213,-0.757838414429831,-0.0574254838043513,-0.121245503861805,0.242715172514641,-0.492060258788643,0.163218178294802
983079,-0.992469268744877,0.174841969627524,0.434081599811282,-0.258318633886205,-0.326630863249051,0.383207120356597,1.3615932660616,-0.555065142514602,-0.101639004946946,-0.578819918885493,0.183445201798146,-0.27931684915827,-0.0948746870792974,-0.0981015304979126,-0.823955830945059,0.829764290224653,-0.692455211520635,-2.35019608212529,-0.426891540659236,-0.391205786765866,1.14726252091869,-0.101507378607816,0.640974617567227,-0.0736692353758519,-1.06512454807005,1.34219817587098,0.000576290395298159
1085983,0.831942220489547,0.174841969627524,0.434081599811282,-0.238023552562223,-0.327412186832738,-0.0747410888757303,-0.852909807415429,-0.607473151889265,-0.0852734898462617,-0.0651044887782458,0.192200048195148,0.282146075718155,0.00777275335489616,1.85679931899153,-0.532471771952147,-1.40082010107525,-0.855102712602018,0.700971840367978,0.113492648702964,-0.63755017929568,-0.282267952425707,-0.161075369429439,-0.0100587835698803,-0.166408586448072,-0.197711414479636,-0.327140402079391,-0.241817270724574
1125173,-0.946600038449831,0.174841969627524,0.434081599811282,-0.258318633886205,1.09092528794231,0.211681425982777,-0.108890044070794,-0.297367282939817,0.0486199867574914,-0.350272315853804,-0.0606863083073384,-0.581043353994159,-0.0279546644954859,-0.147702116504636,0.0706848580082459,0.145866108370612,1.23683573073884,0.439425938975942,-0.660154411291279,-1.14524343710508,-0.441114853360671,0.0295688945225809,0.76603226107936,-0.116188746127853,1.97161721136208,-0.633392712488778,0.102841835614062
