"f","count"
"wavelet.HHL_firstorder_Mean",14
"original_shape_Flatness",25
"wavelet.HHL_firstorder_Median",10
"wavelet.HHH_firstorder_Mean",27
"wavelet.LHH_firstorder_Median",16
"wavelet.LLH_glszm_HighGrayLevelZoneEmphasis",1
"wavelet.HHH_firstorder_Median",13
"wavelet.LHH_firstorder_Mean",1
"original_shape_Elongation",6
"wavelet.HHH_glszm_HighGrayLevelZoneEmphasis",12
"wavelet.HHH_glszm_SmallAreaHighGrayLevelEmphasis",5
"wavelet.HHL_glcm_Correlation",3
"wavelet.HHL_glcm_ClusterShade",1
"lbp.3D.m1_glcm_Correlation",1
"wavelet.LLH_firstorder_Skewness",2
"original_shape_Sphericity",1
"wavelet.HLL_glcm_JointAverage",1
"log.sigma.2.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",1
