"f","count"
"original_shape_Flatness",249
"original_shape_Sphericity",247
"original_firstorder_10Percentile",163
"original_firstorder_Mean",190
"original_glcm_Imc2",138
"original_glrlm_LowGrayLevelRunEmphasis",241
"original_glszm_GrayLevelNonUniformityNormalized",169
"original_glszm_LargeAreaLowGrayLevelEmphasis",196
"original_glszm_LowGrayLevelZoneEmphasis",221
"original_gldm_DependenceEntropy",219
"original_gldm_LargeDependenceLowGrayLevelEmphasis",223
"original_gldm_SmallDependenceLowGrayLevelEmphasis",225
"log.sigma.1.0.mm.3D_firstorder_Mean",248
"log.sigma.1.0.mm.3D_firstorder_Median",196
"log.sigma.1.0.mm.3D_glcm_Correlation",74
"log.sigma.1.0.mm.3D_glszm_LargeAreaHighGrayLevelEmphasis",54
"log.sigma.1.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",75
"log.sigma.2.0.mm.3D_glcm_ClusterShade",208
"log.sigma.2.0.mm.3D_glcm_InverseVariance",199
"log.sigma.2.0.mm.3D_glrlm_RunEntropy",142
"log.sigma.2.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",144
"log.sigma.2.0.mm.3D_glszm_HighGrayLevelZoneEmphasis",61
"log.sigma.2.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",79
"log.sigma.2.0.mm.3D_gldm_LargeDependenceLowGrayLevelEmphasis",101
"log.sigma.2.0.mm.3D_gldm_LowGrayLevelEmphasis",82
"log.sigma.3.0.mm.3D_firstorder_Maximum",207
"log.sigma.3.0.mm.3D_firstorder_Median",240
"log.sigma.3.0.mm.3D_glcm_JointAverage",72
"log.sigma.3.0.mm.3D_glcm_Imc2",214
"log.sigma.3.0.mm.3D_glcm_InverseVariance",221
"log.sigma.3.0.mm.3D_glrlm_RunEntropy",226
"log.sigma.3.0.mm.3D_glszm_GrayLevelNonUniformityNormalized",127
"log.sigma.3.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",150
"log.sigma.3.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",224
"log.sigma.3.0.mm.3D_glszm_SmallAreaHighGrayLevelEmphasis",238
"log.sigma.3.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",232
"log.sigma.3.0.mm.3D_glszm_ZoneVariance",59
"wavelet.LLH_firstorder_Mean",236
"wavelet.LLH_firstorder_Median",237
"wavelet.LLH_glcm_JointAverage",249
"wavelet.LLH_glcm_ClusterShade",203
"wavelet.LLH_glrlm_RunLengthNonUniformity",107
"wavelet.LLH_glszm_GrayLevelNonUniformityNormalized",77
"wavelet.LLH_glszm_SizeZoneNonUniformityNormalized",145
"wavelet.LHL_firstorder_Mean",245
"wavelet.LHL_firstorder_Median",249
"wavelet.LHL_glcm_ClusterShade",226
"wavelet.LHL_glcm_Correlation",216
"wavelet.LHL_glcm_InverseVariance",62
"wavelet.LHL_glrlm_RunEntropy",117
"wavelet.LHL_glszm_SmallAreaHighGrayLevelEmphasis",250
"wavelet.LHL_gldm_LowGrayLevelEmphasis",239
"wavelet.LHH_firstorder_Mean",250
"wavelet.LHH_firstorder_Median",249
"wavelet.LHH_firstorder_Skewness",250
"wavelet.LHH_glcm_ClusterShade",248
"wavelet.LHH_glcm_Correlation",166
"wavelet.LHH_glcm_Imc2",137
"wavelet.LHH_glrlm_ShortRunLowGrayLevelEmphasis",244
"wavelet.LHH_glszm_GrayLevelNonUniformityNormalized",236
"wavelet.LHH_glszm_GrayLevelVariance",229
"wavelet.LHH_glszm_SizeZoneNonUniformityNormalized",248
"wavelet.LHH_glszm_SmallAreaHighGrayLevelEmphasis",226
"wavelet.LHH_glszm_SmallAreaLowGrayLevelEmphasis",241
"wavelet.LHH_glszm_ZoneEntropy",203
"wavelet.HLL_firstorder_Mean",242
"wavelet.HLL_glcm_ClusterShade",195
"wavelet.HLL_glcm_Correlation",111
"wavelet.HLL_glcm_InverseVariance",121
"wavelet.HLL_glszm_SmallAreaHighGrayLevelEmphasis",240
"wavelet.HLL_glszm_SmallAreaLowGrayLevelEmphasis",239
"wavelet.HLL_gldm_LowGrayLevelEmphasis",176
"wavelet.HLH_firstorder_Kurtosis",30
"wavelet.HLH_firstorder_Mean",248
"wavelet.HLH_firstorder_Median",250
"wavelet.HLH_firstorder_Skewness",235
"wavelet.HLH_glcm_ClusterShade",249
"wavelet.HLH_glcm_Correlation",195
"wavelet.HLH_glcm_Imc2",49
"wavelet.HLH_glrlm_LowGrayLevelRunEmphasis",242
"wavelet.HLH_glszm_GrayLevelNonUniformityNormalized",209
"wavelet.HLH_glszm_SizeZoneNonUniformityNormalized",236
"wavelet.HLH_glszm_SmallAreaHighGrayLevelEmphasis",179
"wavelet.HLH_glszm_SmallAreaLowGrayLevelEmphasis",219
"wavelet.HHL_firstorder_Mean",250
"wavelet.HHL_firstorder_Median",250
"wavelet.HHL_firstorder_Skewness",243
"wavelet.HHL_glcm_ClusterShade",231
"wavelet.HHL_glszm_GrayLevelNonUniformityNormalized",24
"wavelet.HHL_glszm_SmallAreaLowGrayLevelEmphasis",219
"wavelet.HHH_firstorder_Mean",250
"wavelet.HHH_firstorder_Median",250
"wavelet.HHH_firstorder_Skewness",249
"wavelet.HHH_glcm_ClusterShade",249
"wavelet.HHH_glcm_Correlation",238
"wavelet.HHH_glcm_Imc2",5
"wavelet.HHH_glcm_InverseVariance",209
