"f","count"
"original_shape_Sphericity",14
"original_glszm_LargeAreaLowGrayLevelEmphasis",16
"wavelet.HHH_firstorder_RootMeanSquared",69
"wavelet.HHH_glszm_GrayLevelNonUniformityNormalized",102
"wavelet.HHH_glszm_HighGrayLevelZoneEmphasis",106
"wavelet.LHL_glszm_SmallAreaEmphasis",15
"wavelet.LLL_glcm_Imc1",14
"wavelet.LHH_firstorder_Entropy",4
"wavelet.LHH_glszm_SizeZoneNonUniformityNormalized",47
"wavelet.LHH_glszm_GrayLevelNonUniformityNormalized",10
"wavelet.HHH_glrlm_HighGrayLevelRunEmphasis",3
"wavelet.LLL_firstorder_90Percentile",19
"wavelet.HLH_glszm_SizeZoneNonUniformityNormalized",8
"wavelet.HLH_firstorder_Mean",4
"wavelet.HLH_glszm_GrayLevelNonUniformityNormalized",3
"wavelet.HHL_glszm_SmallAreaLowGrayLevelEmphasis",11
"log.sigma.3.0.mm.3D_firstorder_10Percentile",2
"wavelet.LHH_glcm_JointEntropy",32
"wavelet.LHH_glszm_SmallAreaEmphasis",9
"wavelet.LLL_firstorder_Uniformity",9
"log.sigma.5.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",2
"wavelet.LHL_firstorder_Kurtosis",3
"log.sigma.1.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",5
"wavelet.HHH_firstorder_Kurtosis",8
"wavelet.LHH_firstorder_Median",1
"wavelet.LHL_firstorder_Skewness",5
"wavelet.HLL_glszm_SmallAreaEmphasis",11
"wavelet.HHL_glszm_SmallAreaEmphasis",3
"wavelet.HHL_glrlm_ShortRunHighGrayLevelEmphasis",7
"wavelet.HHH_glszm_SizeZoneNonUniformityNormalized",10
"wavelet.HHL_firstorder_Median",2
"wavelet.HHL_glszm_GrayLevelNonUniformityNormalized",2
"wavelet.HLL_firstorder_Kurtosis",2
"wavelet.HLL_glcm_Id",1
"log.sigma.4.0.mm.3D_glszm_SmallAreaLowGrayLevelEmphasis",3
"wavelet.LHL_glcm_ClusterProminence",5
"original_glrlm_ShortRunLowGrayLevelEmphasis",5
"wavelet.HLH_glszm_SmallAreaLowGrayLevelEmphasis",1
"log.sigma.3.0.mm.3D_glszm_LowGrayLevelZoneEmphasis",2
"wavelet.LHL_glszm_SizeZoneNonUniformityNormalized",1
"wavelet.HHH_glszm_SmallAreaEmphasis",2
"original_glszm_GrayLevelNonUniformity",1
"log.sigma.2.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",1
"log.sigma.2.0.mm.3D_glszm_SmallAreaEmphasis",1
"wavelet.HLH_glszm_HighGrayLevelZoneEmphasis",1
"wavelet.LLH_glrlm_RunVariance",2
"original_glrlm_RunPercentage",1
"wavelet.LHH_glszm_ZoneEntropy",1
"log.sigma.5.0.mm.3D_glszm_SizeZoneNonUniformityNormalized",1
"wavelet.HLH_glszm_LargeAreaLowGrayLevelEmphasis",1
"original_shape_Flatness",2
"wavelet.HHL_firstorder_Skewness",1
